S,B,is_validation,oom,latency_s,latency_min_s,latency_p90_s,latency_iters,latency_loop_s,memory_bytes,memory_bytes_warm,memory_base_bytes,energy_j,energy_iters,energy_window_s,mean_power_w,sm_clock_mhz,mem_clock_mhz,gpu_temp_c,flops_profiler,elapsed_s
384,256,0,0,0.06153257703408599,0.06119436491280794,0.0616484350990504,20,0.06173403324404111,2882659328,2882659328,466740224,20.22695833320419,24,1.4816167978569865,327.64679821331134,1425,9501,80,668685828096,3.59
400,1,1,0,0.0005095954984426498,0.0005068420432507992,0.0005209105554968118,300,0.0005087577506856796,25915392,25915392,15675392,0.16379748555700915,2943,1.497274060267955,321.95575465189603,1755,9501,81,2834233344,1.68
400,2,1,0,0.0008553650695830584,0.0008030706085264683,0.0008584984112530947,300,0.0008587207014556109,38566912,38566912,17595392,0.2718425556226791,1753,1.505337389651686,316.56690605208524,1695,9501,81,5668466688,1.79
400,4,1,0,0.001275642542168498,0.0011684228666126728,0.0012797252275049686,300,0.001275325966800781,63378432,63378432,21435392,0.41224085105226393,1175,1.4985080109909177,323.2435171741941,1590,9501,81,11336933376,1.91
400,8,1,0,0.002290877513587475,0.0022119050845503807,0.0022940559778362513,300,0.0022955076421528418,113001472,113001472,29115392,0.7450657492156058,654,1.5012619979679585,324.5755908339499,1530,9501,80,22673866752,2.24
400,16,1,0,0.004504121840000153,0.00438758684322238,0.004506989568471909,159,0.004512563540793217,209052672,209052672,45212672,1.4722102102306154,333,1.5026836590841413,326.2469762302407,1485,9501,80,45347733504,2.3
400,32,1,0,0.009006346110254526,0.008998485747724771,0.0090135402046144,77,0.009025354838806642,402875392,402875392,75195392,2.963427710784487,166,1.4982089032419026,328.3447314495083,1440,9501,80,90695467008,2.33
400,64,1,0,0.016935261897742748,0.016928955912590027,0.01693942118436098,41,0.01697215559066866,792847360,792847360,137487360,5.535409091040492,88,1.493549691978842,326.1464969178032,1440,9501,80,181390934016,2.44
400,95,1,0,0.025816441979259253,0.025766396895051003,0.02591544995084405,27,0.025871480847227162,1169286144,1169286144,196207616,8.427241379330898,58,1.5005458891391754,325.73478994473976,1425,9501,80,269252167680,2.58
400,98,1,0,0.02587097091600299,0.025862672831863165,0.02587508102878928,27,0.025869785138128095,1206019072,1206019072,202499072,8.538789473604737,57,1.4745777528733015,330.0680476475961,1425,9501,80,277754867712,2.55
400,128,1,0,0.03358199307695031,0.033320787362754345,0.033732919581234456,20,0.03366070391017605,1572332544,1572332544,259515392,11.049204545603557,44,1.4810709720477462,328.2523317126249,1425,9501,80,362781868032,2.64
400,167,1,0,0.04384873551316559,0.0437081060372293,0.04394875457510352,20,0.04391983382896904,2045895680,2045895680,334619648,14.354147058637704,34,1.4932743501849473,326.82607849872755,1425,9501,80,473316968448,3.0
400,256,1,0,0.06741193355992436,0.06683690520003438,0.06769960182718933,20,0.06738869132558731,3126715392,3126715392,505275392,21.915363636206497,22,1.4825512091629207,325.2083280609026,1410,9501,80,725563736064,3.79
512,1,0,0,0.000670804874971509,0.0006658779457211494,0.0006753199733793736,300,0.000667981174482909,33678336,33678336,16901120,0.21833273703115785,2236,1.4936059061437845,326.85462610555066,1725,9501,82,4643407872,1.73
512,2,0,0,0.0011382843367755413,0.001056960318237543,0.0011406541336327792,300,0.0011414220116766638,53601280,53601280,20046848,0.37104100227672765,1317,1.5032527893781662,325.06907916704364,1650,9501,81,9286815744,1.88
512,4,0,0,0.001966896466910839,0.001809694804251194,0.001969449780881405,300,0.0019704847324033344,93447168,93447168,26338304,0.6364041994719367,762,1.5015093660913408,322.9683483493606,1575,9501,81,18573631488,2.13
