S,B,is_validation,oom,latency_s,latency_min_s,latency_p90_s,latency_iters,latency_loop_s,memory_bytes,memory_bytes_warm,memory_base_bytes,energy_j,energy_iters,energy_window_s,mean_power_w,sm_clock_mhz,mem_clock_mhz,gpu_temp_c,flops_profiler,elapsed_s
400,128,1,0,0.03362447745166719,0.033563217148184776,0.03392315432429314,20,,1572332544,1572332544,259515392,,,,,,,,,1.12
400,167,1,0,0.044204254634678364,0.04379017697647214,0.044416005117818715,20,,2045895680,2045895680,334619648,,,,,,,,,1.47
400,256,1,1,,,,,,,,,,,,,,,,,0.01
512,1,0,0,0.0006752284243702888,0.0006665131077170372,0.0006946578156203032,300,,33678336,33678336,16901120,,,,,,,,,0.24
512,2,0,0,0.0011353031732141972,0.0010935147292912006,0.001138922292739153,300,,53601280,53601280,20046848,,,,,,,,,0.36
512,4,0,0,0.001964225899428129,0.0018879147246479988,0.0019680662546306847,300,,93447168,93447168,26338304,,,,,,,,,0.62
512,8,0,0,0.0037731039337813854,0.0037460578605532646,0.0037873894907534122,186,,173138944,173138944,38921216,,,,,,,,,0.76
512,16,0,0,0.007112818071618676,0.00710475817322731,0.007142792129889131,98,,332522496,332522496,64087040,,,,,,,,,0.79
512,32,0,0,0.013863445026800036,0.013846214860677719,0.013887213030830025,50,,651289600,651289600,114418688,,,,,,,,,0.88
512,64,0,0,0.027408957947045565,0.027403112966567278,0.027421265840530396,25,,1288823808,1288823808,215081984,,,,,,,,,1.05
512,95,1,0,0.04081447864882648,0.04080318007618189,0.04098795102909207,20,,1907483648,1907483648,313648128,,,,,,,,,1.36
512,98,1,0,0.041979650035500526,0.04196896776556969,0.04214632725343108,20,,1966203904,1966203904,322036736,,,,,,,,,1.4
512,128,0,1,,,,,,,,,,,,,,,,,0.0
512,167,1,1,,,,,,,,,,,,,,,,,0.01
512,256,0,1,,,,,,,,,,,,,,,,,0.02
